category,description
health," GAITHERSBURG, Md., Dec. 16 — In a 23-to-4 vote, two expert advisory committees to the Food and Drug Administration recommended Tuesday that a so-called morning-after pill to prevent unintended pregnancies be sold over the counter. "
health," THE FACTS Even a New Yorker can tell you how to treat a snakebite in the middle of the woods. Apply a tourniquet, suck out the poison and spit it out. Wrong, experts say. Putting your mouth on a venomous wound is the last thing you should do. "
health,"HONG KONG, Nov. 29 - A pandemic of human influenza could kill up to 100 million people around the world, a World Health Organization official said today, significantly raising the agency's earlier estimates of the number of deaths in such a catastrophe."
health,"Women are more likely than men to have a hidden type of coronary disease in which their heart muscles are starved for oxygen even though their coronary arteries look clear and free of blockages on x-rays, doctors are reporting."
health,"The government is beginning a project that aims to unlock all the genetic abnormalities that contribute to cancer, an effort that would exceed the Human Genome Project in complexity but could eventually lead to new diagnostic tests and treatments for the disease. "
politics,"McALLEN, Texas — The front door of the Hidalgo County Republican Party’s office is covered with photographs of high-profile politicians in the party: Gov. Greg Abbott, Senator John Cornyn and former President Donald J. Trump. Nearly all of them are white men."
politics,"Donald J. Trump was back on his feet. He had just been shot at, his white shirt was undone and his red hat was no longer on his head. Blood streaked across his face as riflemen patrolled the perimeter of the stage. A pack of Secret Service agents pressed their bodies against his. “We’ve got to move, we’ve got to move,” one pleaded."
politics,They were once members of a select club of Republican governors with White House aspirations.
politics,"As the results rolled in on Tuesday night, a feeing of déjà vu arrived along with them. Pre-election polls, it appeared, had been misleading once again."
politics,"Former President Donald J. Trump acknowledged this week that Republican positions on abortion were hurting the party, but offered few details after claiming he knew how to thread the needle."
politics,Donald J. Trump has appeared unconcerned with the possibility of angering Latinos since declaring during the announcement of his presidential campaign in June that Mexico was sending rapists to the United States.
politics,"On Tuesday, Donald J. Trump’s campaign started running a negative ad in South Carolina against Senator Ted Cruz that was searing, describing the winner of the Iowa Republican caucuses as a fake and a “Washington insider.”"
politics,"Senator Kamala Harris of California released a sweeping proposal on Monday to overhaul the criminal justice system, vowing to end mass incarceration and revamp police practices through a progressive wish list of policies, including some ideas Ms. Harris previously rejected during her years as a district attorney and state attorney general."
politics,"Campaign aides for Senator Bernie Sanders of Vermont said Monday night that the Democratic Party did not collect the results of 90 Iowa precincts, which is about 5 percent of all votes cast in the state, because the party had failed to properly staff the precincts."
politics,"It’s a time-honored tradition that candidates head to church services around the holidays, and in this way, Donald J. Trump is adhering to convention. "
sports,"LOS ANGELES, Aug. 2  Four coaches for the San Francisco Giants sipped beers and looked drained in the clubhouse after a numbing loss to the Los Angeles Dodgers on Wednesday night. Giants Manager Bruce Bochy drank a beer in his office, too. Barry Bonds, who is still chasing history, was one of the first players to leave the exasperating scene."
sports,"Andrew McCutchen scored the tiebreaking run on an error in the top of the 13th inning Monday night as the San Francisco Giants outlasted the Mets, 2-1, in the opener of a four-game series at Citi Field."
sports,"MONTREAL — Two years after his remarkable victory over Rafael Nadal at the Rogers Cup in Montreal, Denis Shapovalov still watches video of the match, one of the most significant in Canadian tennis history."
sports,"WELLINGTON — Now that the dust has settled on another Six Nations championship, discussion about who will be selected for the British and Irish Lions will begin in earnest."
sports,"Tim Gerspacher, a 40-year-old New Yorker with two marathons under his belt, could see the finish line for the New York City Marathon last November and was elated. "
sports,"Every interception Mark Sanchez threw, every terrible decision that he made Monday night, doubled as a challenge to the Jets’ front office. Cut me, Sanchez almost seemed to be daring them."
sports,"WIMBLEDON, England — For several years now, a trickle of promising young players has bubbled up, threatened to erode the top layer of men’s tennis and receded again. Roger Federer and Rafael Nadal have held firm, allowing room only for Novak Djokovic, then for Andy Murray."
sports,The United States Open took a hit in July when Roger Federer announced that his season was over because of a knee injury. Fans were disappointed that the veteran Swiss master with the graceful one-handed backhand would be unable to make another run to a final.
sports,"David Wright cracked a pitch deep, deep, deep toward right field Thursday night. So deep, he thought, that he hopped out of the batter’s box, a little pep in his step, in anticipation of it soaring over the fence. This one did not have enough muscle behind it, though, and it plopped into the fielder’s glove on the warning track. "
sports,A late winning goal. A spot in the knockout stage. It just does not get better for tiny Iceland.
business,Uber and Lyft have for years battled for customers in the fast-growing ride-hailing business. Now the bitter rivals may fight for investors in their initial public offerings.
business,"The Justice Department has started a preliminary investigation into whether I.B.M. has abused its monopoly position in the market for mainframe computers, which remain vital to many of the world’s largest businesses. This month, antitrust regulators at the Justice Department began seeking information about I.B.M.’s business practices from companies that compete with I.B.M. in the market for large computer hardware and software, people who had been contacted in the inquiry said. "
business,OpenAI filed a motion in federal court on Monday that seeks to dismiss some key elements of a lawsuit brought by The New York Times Company.
business,"Within weeks of the shocking collapse of Bear Stearns in March 2008, I started interviewing former executives of the firm to try to figure out what had just happened and why."
business,Chick-fil-A said on Tuesday that within five years it would no longer sell products containing meat from chickens raised with antibiotics.
business,"More than three years after a Supreme Court decision gave federal recognition to same-sex marriages performed in states that allowed them, the demographics of same-sex married couples largely remain a mystery."
business,"A new asthma drug being developed by Sanofi and Regeneron Pharmaceuticals may help patients whose condition is not well controlled by existing medicines, according to the results of a small clinical trial released Tuesday."
business,"THE bar in “Cheers” was supposedly where everybody knew your name. A leading home-improvement retailer plans to present itself as the place where everybody knows which type of washer you need, which type of insect is infesting your garden or which shade of purple a teenage girl can paint her room without driving her mother crazy."
business,"LVMH Moët Hennessy Louis Vuitton, the French luxury goods giant, says it has bought a minority stake in the family-controlled handbag maker Hermès but would not seek to take over the company or influence its strategy, Reuters reports."
business,"DETROIT, June 27 — General Motors, closing out what could turn out to be the weakest first half of a year it has ever recorded, will offer zero percent financing on most 2006 models over the Independence Day weekend."
entertainment,"YOU may guess the secret about young Stella Meredith (Gail Russell) in THE UNINVITED (1944), but not before you've been properly scared in this old-fashioned, romantic ghost story set in prewar England. Roderick and Pamela Fitzgerald (Ray Milland and Ruth Hussey), brother-and-sister Londoners, set the tale in motion by buying a grand, long vacant country house in Cornwall, on a cliff overlooking the sea. The price is right and the staircase is fabulous, but the dog refuses to go upstairs, the air is always cold in the second-floor studio, and in the middle of the night the new owners hear the mournful sound of a woman crying. ""It comes from everywhere and nowhere,"" Pamela says. ""I've searched. There's never anything there."" Except a satisfyingly creepy story, directed by Lewis Allen, about a scandalous love affair and the mysterious death of Stella's mother -- Sunday at 10 p.m. on TCM."
entertainment,"Some 60 finalists under the age of 15 will follow in the footsteps of last year's winner, George Abraham Thampy (below), when they tackle words from achlamydeous to zygapophysis in the championship round of the Scripps Howard National Spelling Bee, shown Thursday at 10 a.m. (early round) and 1 p.m. (final round) on ESPN."
entertainment,"ANG LEE'S fans can only pray that after ''The Hulk'' he'll return to making less action-happy films. Like ''The Ice Storm,'' ''Sense and Sensibility'' and THE WEDDING BANQUET (1993), the comedy of cultural and sexual manners that first brought him to American moviegoers' attention. It's the story of a gay Chinese man (Winston Chao) living in Greenwich Village who decides he'll marry a woman (May Chin) -- in name only, of course -- just to shut his parents up. Unfortunately Mom and Dad decide to fly over from Taipei for the festivities. That means considerable deception for our hero, from de-gaying the apartment he shares with his lover (Mitchell Lichtenstein) to elaborate unfelt displays of physical affection for his bride, who just wants her green card -- Saturday at 5:30 p.m. on IFC."
entertainment,"At the beginning of VH1's first original movie, ''Sweetwater,'' a man fights off a television reporter trying to get him to talk about his band, which played before half a million people at Woodstock 30 years ago and then disappeared. Why won't he open up? ''Because,'' he scolds the reporter, ''a whatever-happened-to piece with a balding, middle-aged construction foreman telling war stories has humiliation written all over it.''"
entertainment,"IF told that their teenage son was a fire-breathing dragon, most parents of adolescent boys probably wouldn't show much surprise -- what pubescent kid isn't? But for Jake Long, it's no joke. He really is a fire-breathing dragon, at least part of the time; otherwise he's a typical 13-year-old Manhattan middle school student, hurtling through life on a skateboard with his pals Spud, a mellow slacker, and Trixie, a homegirl with attitude. The son of a Chinese mother and a father from the Midwest, Jake exemplifies the American melting pot with an extra-strong dash of Asian hot sauce."
entertainment,"''BELIEVE me, he don't take it from nobody,'' says Vincent D'Onofrio as Robert E. Howard, describing his creation Conan the Barbarian. ''He'll fight man, beast, devil or god.'' THE WHOLE WIDE WORLD (1996), a wonderfully acted romantic drama, reveals the awful truth: big, bad Conan was created by a small-town Texas boy still living at home with his parents. Bob's love interest, Novalyne Price (Renee Zellweger), is a teacher but also an aspiring writer (with a stack of rejection slips from confession magazines). Bob impresses her, even when he brings her a copy of Weird Tales magazine, but there are problems. He's creepily close to his mother and has some deep-seated anger. This film, directed by Dan Ireland, was released just before Ms. Zellweger won America's collective heart in ''Jerry Maguire.'' She might not have the courage to do Novalyne's unglamorous lumbering walk these days -- Sunday at 6 p.m. on WE."
entertainment,"VARIETY spices television's movie menu this week with a smooth version of a Lonsdale play, a crackling adventure with an exotic Himalayan setting, a sinister tale of insurance fraud and a Cole Porter musical buoyed by one of his top scores."
entertainment,"When the filmmakers Kirk Simon and Karen Goodman decided to explore the ups and downs of childhood, their first step was to venture behind the classroom door -- for about a year."
entertainment,"''Life is putting Prozac to the test,'' says the mobster and family man Tony Soprano (James Gandolfini) in a clip from ''The Sopranos.'' In the opinion of David Chase, that HBO show's creator and lead writer, life should do as much for television. Mr. Chase gets the most from the medium. Early in his career he wrote movies, but television was more about people. ''You could explore characters and not be so plot-driven,'' he says on ''Influences,'' a new series starting tonight at 7:30 and running for eight Sundays on Bravo."
entertainment,"IN the myth of Orpheus and Eurydice, Orpheus plays the lyre so beautifully that he charms the gods of the underworld into letting him take his dead wife back to earth and life. Well, as long as he can resist looking at her en route (and you know how that sort of thing usually turns out). In Marcel Camus's BLACK ORPHEUS (1959), set during Carnival in Rio de Janeiro, Orpheus (Breno Mello) is a guitarist in love with a country girl (Marpessa Dawn) who is being stalked by a man in a skeleton costume. This intensely atmospheric film, with its haunting samba score, won the best foreign-language film Oscar and the Cannes Film Festival's Palme d'Or -- Sunday at 2 p.m and Sunday/Early Monday at 4 a.m. on Bravo."
health," Millions of people who in the past would have been told that their blood pressure was fine actually have a condition called ""prehypertension,"" and should do something about it, according to a new report by government health experts. "
health," When Arthur Winslow, an 85-year-old man with diabetes, told a neighbor in Tamarac, Fla., that he was having trouble keeping his balance when he bent over, he was surprised by the advice he received. "
health," Even a brief course of counseling may make a big difference in the mental health of people hospitalized for poisoning themselves, a new study in The British Medical Journal has found. "
health," Former President Bill Clinton announced today that his foundation has brokered an agreement with four generic drug companies to cut the cost of certain AIDS anti-retroviral drugs by about a third, and in one case, by half, for distribution in poor countries. "
health," Feeling like you've been stuck in the city for too long? Wish you were somewhere else? Here's a simple solution to what ails you: Go take a hike. Although the city's sprawl might seem endless at times, some truly captivating nature areas can be found nearby, and hiking trails provide some of the best ways to experience them. "
health," Childhood vaccines do not cause sudden infant death syndrome, according to a study released yesterday. "
health," When Dr. Bonnie Fass-Offit joined a pediatric practice in suburban Philadelphia 12 years ago, she tried to follow her conviction that children should not take antibiotics or over-the-counter medications unless they were necessary. "
health," JACKSONVILLE, Fla. -- KEN clutches hope in his hand as the doctor's questions start. It is a wrinkled newspaper article about an Alzheimer's vaccine. He pulls it from his wallet with a look of anticipation flashing briefly on his face — before he forgets to ask the doctor about it. "
health," Anew study has found that vegetarians have high blood levels of salicylic acid, the active ingredient in aspirin. Given that aspirin can prevent heart attacks, the new findings may help explain other studies that have found lower levels of heart disease among people who eat a lot of fruit and vegetables. "
health," IN the last few years, women's magazines that focus primarily on health issues have multiplied faster than multiple-birth baby strollers on the Upper East Side. "
politics,Welcome to our weekly analysis of the state of the 2020 campaign.
politics,Two Republican operatives who played senior roles helping the presidential campaign of Gov. Ron DeSantis of Florida have taken on leadership roles in a new pro-Trump super PAC that could spend tens of millions of dollars in the presidential race and has ties to Elon Musk.
politics,"SILVER SPRING, Md. — Tuesday’s primary elections for Maryland governor come at a moment when Democrats are jittery, unsure of the future and perhaps willing to bet on a flashy, unproven commodity."
politics,"WASHINGTON — The White House on Wednesday said that President Obama would travel to Flint, Mich., next week to hear from residents affected by the water crisis there and get a briefing on federal response efforts. "
politics,"GULFPORT, Miss. — Howard Benson, a retired middle school guidance counselor, went up to Gov. John Kasich of Ohio after an event in Massachusetts last weekend to offer some advice: His campaign should fashion a commercial out of the footage of an emotional moment Mr. Kasich had with a young supporter last week. "
politics,"Hillary Rodham Clinton had planned to focus her remarks Wednesday at a Politics and Eggs breakfast in Manchester, N.H., in support of the politically fraught, if somewhat arcane, issue of the Export-Import Bank and how it helps small businesses in the United States. "
politics,"Representative Carolyn B. Maloney, Democrat of New York and the chairwoman of the House Oversight Committee, said Monday that she would subpoena Louis DeJoy, the postmaster general, for documents she said he had withheld from Congress related to mail delays and communications with the Trump campaign."
politics,"As Donald J. Trump on Monday avoided repeating his recent debate claim that the George W. Bush administration had “lied” in the buildup to the invasion of Iraq in 2003, the conservative radio host Rush Limbaugh said that Mr. Trump had used the language of Democrats to attack the former president. "
politics," Former Vice President Al Gore is easing back into American politics, starting by training Democratic operatives for this fall's elections in New Jersey, Virginia, and New York and then launching a political action committee to help Congressional candidates in the 2002 elections. "
politics,"EASTPOINTE, Mich. — The conversation started with potholes."
sports,"They will emerge sometime Sunday from the New York Marriott Marquis, a committee of 10, having concluded more than 96 hours of deliberations to fill the 68-team bracket for the N.C.A.A. tournament. They will have tallied each team’s Quadrant 1 victories, parsed their R.P.I. rankings and agonized over their “body of work.”"
sports,"Seventeen figures from black baseball — supremely talented ballplayers and executives who were largely invisible to white America at a time when segregation reigned — will be inducted into the National Baseball Hall of Fame on Sunday. Chosen by a committee of baseball historians, they will join 18 Hall of Famers from the Negro leagues whose plaques already grace Cooperstown as baseball seeks to make amends for the fame and fortune denied black players in the decades before Jackie Robinson broke the color barrier."
sports,Keep Baseball Timeless
sports,"A memorial for Kobe Bryant and his 13-year-old daughter, Gianna, who died along with seven other people in a helicopter crash last month, will be held at Staples Center, the arena where the N.B.A. legend played for most of his 20 seasons with the Los Angeles Lakers, Bryant’s wife Vanessa Bryant said on Instagram on Friday."
sports,"Some fans were standing in line Sunday afternoon to pose for photographs and have their ticket stubs signed by a smallish guy wearing a blue Mets windbreaker, a blue Mets hat and black sneakers. Security personnel surrounded him, so he must have been a player. But who?"
sports,"Morgantown, W.Va."
sports,"LONDON — You would think the racewalking community would embrace the Olympics. After all, the sport is largely ignored and often ridiculed, so getting the chance to race on international television once every four years ought to be cause for celebration."
sports,St. Louis
sports,"FOXBOROUGH, Mass. — The goals left no doubts. The result, only more questions."
sports,"GILL, Mass. — The photograph, nearly 50 years old, is a social media favorite, a perennial entry on top-10 lists of strange-but-true sports images. And it is certainly strange. Fans watch a football game from the stands as a building burns behind them, failing to look even mildly alarmed at the flames shooting out and the black smoke billowing into the sky."
business,"Executives at General Electric say they believe that Vivendi, the French conglomerate, will exercise its right later this year to sell its stake in NBC Universal, a move that could lead to NBC Universal’s being spun off into a separate public company in 2010, according to people briefed on the matter who spoke anonymously in order to discuss internal deliberations. "
business,"While Americans ate turkey Thursday, it appears that others were concluding that they didn’t want dollars as much as before. The dollar went through the $1.30 level against the euro today, and also fell against other major currencies."
business,IBM executives and the Wall Street analysts who follow the technology giant will be getting up early on Monday morning.
business,"Procter & Gamble is raising prices on items like Pampers and Tampax in September. Kimberly-Clark said in March that it will raise prices on Scott toilet paper, Huggies and Pull-Ups in June, a move that is “necessary to help offset significant commodity cost inflation.”"
business,"The German government seemed to soften its stance on the possibility of General Motors scrapping plans to sell Opel and deciding to keep the European carmaker when G.M.’s board meets this week, Reuters reported."
business,"Eola Property Trust is seeking to raise as much as $675 million in an initial public offering, the company said Wednesday."
business,"FRANKFURT, Sept. 11 — It’s hardly surprising that a car that bills itself as the “ultimate driving machine” would inspire imitation. But to BMW, the CEO, a Chinese sport utility vehicle, is less respectful homage than brazen knockoff. "
business,"Barclays has moved quickly in digesting the U.S. capital markets operations of Lehman Brothers. Now, after having emblazoned its logo on the New York firm’s headquarters, Barclays has now stamped it on its equity trading and research business."
business,LAS VEGAS 
business,"If you feel that you’re being asked to tip more often, you’re not alone."
entertainment,"Something unusual caught her eye when Margaret Loesch, the president of the president of the Fox Children's Network, walked into her local bookstore."
entertainment,"The first of a long line of game shows on the small screen - ''The CBS Television Quiz''- had its premiere on July 2, 1941. More than half a century later, the stakes may be higher (the first contestants did not play for money), but the basic formats are not at all that different. Like ''Jeopardy!'' today, ''The CBS Television Quiz'' gave contestants the answer and asked them to pose the question. The quiz that follows will test your knowledge of other spinoffs, and spin-outs, of the past, some of which can still be seen on the Game Show Network and in syndication."
entertainment,"STORYTELLING (2001) Wednesday at 11 p.m. and Wednesday/Early Thursday at 2:45 a.m. on IFC Paul Giamatti plays a would-be filmmaker who tricks a dissatisfied suburban couple (John Goodman and Julie Hagerty, above right) and their three sons into appearing in an unflattering documentary. Selma Blair plays a vulnerable creative-writing student who has a demeaning experience with her teacher (Robert Wisdom) and turns it into a short story. Todd Solondz, who wrote and directed, has one theme here: the damage that even seemingly decent people do to others. Mr. Solondz makes the lesson both painful and funny."
entertainment," For all its huge sales numbers (11 million copies of ""Spider-Man"" in a week), DVD is reaching beyond the movie studios to all kinds of smaller producers and distributors. For example, several years ago Gary Hustwit was working for Salon.com when he got a DVD player. A fan of independent films, some of them obscure, he started collecting them on disc. The supply went only so far, however, and having had some experience in independent music and book publishing, he decided to start a company and go looking for films that appealed to him and his partner in the venture, Sean Anderson, former director of DVD development at the Criterion Collection. "
entertainment,"Unlike the Hawk and Animal, the two human combatants who make up the wrestling duo known as Legion of Doom, Todd Pettengill does not have a nickname. Not even one of those two-word ones that fall neatly between parentheses, like Randy (Macho Man) Savage. But then, Mr. Pettengill is not, and never has been, a wrestler like the ones he introduces on World Wrestling Federation broadcasts."
entertainment,"As the ill-fated Paris courtesan who aspires to respectability and forbidden love in CAMILLE (1937), Greta Garbo drew the most enthusiastic reviews of her luminous career. Under George Cukor's astute direction, the actress reached her emotional peak, quietly complimented by a young Robert Taylor (above, with Garbo) as the infatuated Armand, in this Alexandre Dumas tale of passion's ways. Fine support comes from Lionel Barrymore as Armand's concerned father and Elizabeth Allan, Laura Hope Crews and Lenore Ulric as fairweather friends of the stricken Camille. Henry Daniell adds a convincing touch of villainy - Thursday at 6 P.M. on Turner Classic Movies."
entertainment,THE efforts of two lesser-known suffragists to get women the vote may not be the typically sexy stuff of TV movies these days. The main characters -- Alice Paul and Lucy Burns -- do not have the name recognition of Susan B. Anthony or Elizabeth Cady Stanton. The plot involves imprisonment and a hunger strike. The high-collared costumes prevent any glimpses of cleavage.
entertainment,"Some of the choice films on television this week are sleepers. Hollywood isn't depicted as the usual jaded jungle in Jack Sher's FOUR GIRLS IN TOWN (1956). The sensible, balanced tone of this unpretentious yarn about aspiring starlets was a mild jolt back then; it's a nice surprise now. The appealing quartet are Elsa Martinelli, Julie Adams, Marianne Cook and Gia Scala, flanked by George Nader and Sydney Chaplin. There's a super, haunting score by Alex North -- Monday at 4:30 P.M. on American Movie Classics. Fans of the occult should pounce on Herk Harvey's CARNIVAL OF SOULS (1962), a strange, riveting mystery sleeper set in Kansas (of all places) with no stars and not much of a budget. A pretty young woman (Candace Hilligoss) drives off a bridge, into a river. Next, she's calmly walking toward a distant, large tent with lights and music. Your move -- Tuesday at 9 P.M. and 1 A.M. on SCI-FI. James Stewart's strong performance is the reward of Andrew V. McLaglen's SHENANDOAH (1965). He's a widowed southern pacifist caught up in the Civil War through his family. The persuasive cast includes Doug McClure, Rosemary Forsyth, Patrick Wayne and Katharine Ross -- Monday at 9 P.M. on the movie map with a small boat and a cast of exactly three: Leon Niemczyk, Jolanta Umecka (in photo) and Zygmunt Malanowicz. Hang on; Polanski makes very little go a long way -- Sunday at 9 P.M., Friday at midnight on CUNY. For amusing nostalgia, try a blissfully brisk and tacky old Fox musical spotlighting Alice Faye -- a spoof of radio glory titled SING, BABY, SING (1936) which she does, nicely. The songs are neat and her colleagues are game: Adolphe Menjou and Gregory Ratoff. And Patsy Kelly and Ritz Brothers never hurt any picture. Sidney Lanfield directed -- Wednesday at 8 A.M. on Cinemax. HOWARD THOMPSON"
entertainment,"THERE is this movie, not just any movie but the American movie. The setting is a small town. The story is a complex one about success and failure, friendship and family relationships. It's funny and upbeat and light, but also dark and tragic."
entertainment,A television blares in the background. A bloody child is carried into the room. And at least three kinds of bodily fluids are spilled. This can mean only one thing: Adam Rapp is back in town. 
health," GENEVA, July 29 &#0151; Preparing for the end of polio, the World Health Organization is focusing on learning where stocks of the virus exist and encouraging laboratories to tighten controls to prevent accidental release, officials said here today. "
health,"THERE is a ""War of the Worlds"" quality to the outbreak of a new disease: something foreign appears on these shores and, ignored or misdiagnosed at first, spreads quickly, killing a few earthlings -- until someone notices. Then, suddenly, panic spreads faster than the threat, and a terrified populace demands that the government do something -- even if, looked at realistically, the disease is less of a threat than the flu."
health," An inexpensive blood test for a protein linked to artery disease may be better than a cholesterol test at predicting a person's risk for a heart attack or stroke, researchers say in a report to be published on Thursday. "
health," Traditional diuretics are superior to newer, more expensive drugs in lowering high blood pressure and preventing fatal and serious complications from the common condition, researchers said today in reporting the largest study ever of high blood pressure. "
health," A new study documents for the first time the devastating exodus of doctors from Africa and the Caribbean to the wealthy, English-speaking nations of the United States, Britain, Canada and Australia, which now depend on international medical graduates for a quarter of their physicians."
health,THE cloudy purple drink in my glass had scarier instructions than most prescription drugs.
health,"WHILE joggers, weightlifters, recreational softball players and other fitness enthusiasts will surely be delighted to hear that exercise science now sees lactic acid as a force of good and not evil, the fact remains that people are sore. What can be done about it?"
health," Two studies of the accumulated data on marijuana's medical value have found mixed results: the drug had some advantages over standard treatments for severe nausea, but no advantage in reducing severe pain. Both papers were published this month in The British Medical Journal. "
health," Antioxidant supplements, whose ability to improve cardiac health has been subject to skepticism, actually interfered with cholesterol-lowering drugs in a new study from the University of Washington. "
health," How have nurses' lives been reshaped by the pressures of staff shortages, managed care and the onrush of medical technology? Women's Health asked nurses around the country to talk about what they do, how they do it and how nursing is changing. "
politics,"Former President Barack Obama commended the Rev. Raphael Warnock on Wednesday for winning election as the first Black senator from Georgia, casting Mr. Warnock’s historic victory as an example of why civic engagement — an issue Mr. Obama has long championed — matters."
politics,"Taylor Swift, the pop megastar who has increasingly leveraged her fame and platform to weigh in on political matters and social causes, announced Wednesday that she would support Joseph R. Biden Jr. and Senator Kamala Harris in the presidential election."
politics,"When Hillary Clinton’s campaign unveiled a stark campaign ad in early November urging a change in gun control laws, the move was seen as unusually bold for a candidate who has been criticized in the past for being overly cautious. The ad would be put into the rotation of her existing television reservations in Iowa and New Hampshire, her campaign said at the time."
politics,WASHINGTON — President Biden on Monday said he was “planning on” seeking re-election next year but was not ready to launch his campaign yet.
politics,"As he travels the country publicly backing Republican candidates and conservative causes ahead of the midterm elections, former Vice President Mike Pence has also been quietly huddling with donors and building a political operation that could serve as a springboard to a 2024 presidential campaign."
politics,"Hi. Welcome to On Politics, your wrap-up of the week in national politics. I’m Lisa Lerer, your host."
politics,Sign up here to get On Politics in your inbox every weekday.
politics,"Hi. Welcome to On Politics, your guide to the day in national politics. I’m Nick Corasaniti, your host on Tuesdays for our coverage of all things media and messaging."
politics,"Four days before the 2016 congressional primary in her Northern California district, Erin Schrode woke up to tens of thousands of messages. They were everywhere: in her email, on her cellphone, on her Facebook and her Twitter and her Instagram. "
politics,"Hi. Welcome to On Politics, your guide to the day in national politics. I’m Lisa Lerer, your host."
sports,"It has been 32 years since four American women reached the semifinals of the same Grand Slam tournament, and 36 since they managed it at the United States Open."
sports,"DETROIT — Back in the bad old days, office workers in downtown Detroit staged a macabre daily sporting event. At quitting time there would be a mad dash to the parking lot — eyes out for muggers, or worse — then, quick, fire up the car and race home to the suburbs. As night fell, downtown turned into a ghost town."
sports,"The Nets are missing their three best players, two of them All-N.B.A.-caliber centerpieces. And yet, they’re doing just enough to get by."
sports,Joe Paterno’s family can’t rest.
sports,"PHILADELPHIA — Carson Wentz ate lunch last year with the former N.F.L. quarterback Matt Hasselbeck. As they talked, Hasselbeck, now an analyst for ESPN, wondered whether Wentz knew everything he had said about him — good or bad — on television."
sports,Patriots (12-3) at Dolphins (5-10)
sports,"The visitors’ bureau in Greensboro, N.C., probably won’t be calling Syracuse Coach Jim Boeheim for an endorsement any time soon."
sports,"OAKLAND, Calif.  As his latest setup man tried to navigate the eighth inning Tuesday, Mariano Rivera rose from the bench in the right field bullpen. Rivera stood near the foul line with his warm-up jacket on, jangling his arms to get loose."
sports,"UPDATE: This article was updated November 20. When Colin Kaepernick sat during the national anthem at an N.F.L. preseason game in 2016, it began a controversy that would involve dozens of players and owners, athletes in other sports and politicians, including the president of the United States."
sports,The torch relay ended with the tennis star Naomi Osaka lighting the Olympic cauldron in what is generally one of the most memorable parts of the opening ceremony.
business,"DENVER  For 30 years, Lew Ellingson loved being a telephone man. "
business,"GORE VIDAL once said, “Never miss a chance to have sex or appear on television,” which might explain why every spring, when I receive the list of cities for the next round of PBS’s “Antiques Roadshow” tapings, I tick off each entry and return it by the next post. This, despite having sworn on a stack of vintage Montgomery Ward catalogs the previous September that I would never again spend my summer weekends flying back and forth across America."
business,"WASHINGTON  Zero percent interest rates! It sounds like free money, or maybe a promotional deal from General Motors to get people to buy Hummers. Are zero rates coming to the Federal Reserve?"
business,"WASHINGTON — Last April, the chairman of the Federal Communications Commission, Ajit Pai, led the charge for his agency to approve rules allowing television broadcasters to greatly increase the number of stations they own. A few weeks later, Sinclair Broadcasting announced a blockbuster $3.9 billion deal to buy Tribune Media — a deal those new rules made possible."
business,Three Democratic senators yesterday proposed using $300 million in federal funds to help refinance troubled subprime mortgages and introduced a bill that would require brokers and lenders to act in the interest of borrowers.
business,"Tyco International on Tuesday announced its largest deal in more than four years, saying it would buy Confluent Surgical for $245 million in cash."
business,PARIS — Would it make sense for one troubled carmaker with huge losses and acres of idle factory space to acquire another troubled carmaker with the same problem?
business,"Google a controversial topic and you will be swamped with blogs and message boards filled with readers’ thoughts, some insightful, others biased or not factual. Russell Fine hopes to provide an alternative with Opposing Views, a Web site that went live in July. It presents debates between two experts on either side of controversial issues, along with reader responses. "
business,"WASHINGTON — The Federal Reserve, determined to move cautiously, said on Wednesday that the American economy still was not ready for higher interest rates."
business,"Jim Glanz reports in today’s Times that Congress did away with the post of inspector general in Iraq. The inspector general has issued reports that embarrassed military contractors like Halliburton, Parsons and Bechtel, but all those companies deny lobbying to get rid of him."
entertainment,"WATCHING Brad Pitt is always a pleasure, but it's particularly enjoyable in Terry Gilliam's wonderfully nightmarish 12 MONKEYS (1995). As a very rich mental patient, Mr. Pitt is wild-eyed with some interesting physical tics and a tendency toward irrational but entertaining outbursts; the role earned him an Oscar nomination for best supporting actor. The film's lead, Bruce Willis is a time traveler from the future sent back to research the viral war of 1996 that killed most of the human race and sent the survivors underground for decades. Madeleine Stowe is the psychiatrist who doesn't believe a word he says - Saturday at 8 p.m. on Channel 7."
entertainment,"MIKE LEIGH understands emotional apathy and the British working class. He proved that with ''Secrets and Lies'' and does it again in ALL OR NOTHING (2002). Timothy Spall stars as Phil, a passive, almost affectless cabdriver, and Lesley Manville plays his wife, Penny, a supermarket cashier who is almost equally passive. They live in a dingy motel-style apartment project with their two lumbering, overweight, useless teenage children. They stopped loving each other a long time ago. Then one day their son, Rory (James Corden), has a heart attack. And when people are that raw emotionally from a near-tragedy, so much that Phil tells Penny, ''I feel like an old tree that ain't got no water,'' change is possible -- Friday at 9 p.m. and Friday/Early Saturday at 4 a.m. on Sundance."
entertainment,"BERLIN, Feb. 15 Â When the annual Berlin International Film Festival started last week, the expectation was that this was going to be the year of politics."
