category,description
entertainment,"THERE is this movie, not just any movie but the American movie. The setting is a small town. The story is a complex one about success and failure, friendship and family relationships. It's funny and upbeat and light, but also dark and tragic."
entertainment,A television blares in the background. A bloody child is carried into the room. And at least three kinds of bodily fluids are spilled. This can mean only one thing: Adam Rapp is back in town. 
politics,"Former President Barack Obama commended the Rev. Raphael Warnock on Wednesday for winning election as the first Black senator from Georgia, casting Mr. Warnock’s historic victory as an example of why civic engagement — an issue Mr. Obama has long championed — matters."
politics,"Taylor Swift, the pop megastar who has increasingly leveraged her fame and platform to weigh in on political matters and social causes, announced Wednesday that she would support Joseph R. Biden Jr. and Senator Kamala Harris in the presidential election."
politics,"When Hillary Clinton’s campaign unveiled a stark campaign ad in early November urging a change in gun control laws, the move was seen as unusually bold for a candidate who has been criticized in the past for being overly cautious. The ad would be put into the rotation of her existing television reservations in Iowa and New Hampshire, her campaign said at the time."
politics,WASHINGTON — President Biden on Monday said he was “planning on” seeking re-election next year but was not ready to launch his campaign yet.
politics,"As he travels the country publicly backing Republican candidates and conservative causes ahead of the midterm elections, former Vice President Mike Pence has also been quietly huddling with donors and building a political operation that could serve as a springboard to a 2024 presidential campaign."
politics,"Hi. Welcome to On Politics, your wrap-up of the week in national politics. I’m Lisa Lerer, your host."
politics,Sign up here to get On Politics in your inbox every weekday.
politics,"Hi. Welcome to On Politics, your guide to the day in national politics. I’m Nick Corasaniti, your host on Tuesdays for our coverage of all things media and messaging."
politics,"Four days before the 2016 congressional primary in her Northern California district, Erin Schrode woke up to tens of thousands of messages. They were everywhere: in her email, on her cellphone, on her Facebook and her Twitter and her Instagram. "
politics,"Hi. Welcome to On Politics, your guide to the day in national politics. I’m Lisa Lerer, your host."
economy,"KALKASKA, Mich. - ONE of the truly good-news stories in American agriculture, and one with meaning for small businesses of all kinds, is what's happening on Tyler Road here at the Shetler Family Dairy."
economy,"SAN FRANCISCO — Hewlett-Packard is in talks to buy Aruba Networks, a maker of WiFi access equipment for businesses, people briefed on the matter said on Wednesday."
economy,"MAKE trouble your ally. That's the advice experts have for would-be entrepreneurs. Turmoil -- economic or social -- creates opportunity, even as it pushes managers and other employees out of their corporate niches."
economy,"IT used to be one of the great free pleasures in New York to go into Tiffany & Company in the afternoon and hear the pens tapping on the counters. Each rap of a salesman's ballpoint signaled the sale of a diamond ring or a pair of cuff links. It intoned happiness and solvency, and, since Tiffany was not the sort of place to expose a customer to the indecency of baring his wallet in public, it summoned a manager, who performed the actual transaction at a discreet distance."
economy,"HONG KONG — The French shipping company CMA CGM agreed on Monday to buy Neptune Orient Lines of Singapore for $2.4 billion, excluding debt, the companies said."
economy,"Iberdrola, a big Spanish utility company, agreed on Thursday to acquire the UIL Holdings Corporation of New Haven, Conn., for $3 billion in cash and stock as it seeks to expand in the United States."
economy,A New York judge at the center of a multiyear battle between Argentina and a group a hedge funds has dug in his heels once again.
economy,"BALA CYNWYD, Pa. - IT was 1963 and Jerry Lee, only a few years out of college, was looking for the next big thing."
economy,THE government wants to help the little guy sell more goods not just in America but around the world. And many loan-guarantee and insurance programs exist to give small businesses more incentives to push their products abroad.
economy,"When you get right down to it, it’s my dad’s fault. My relationship with money, I mean. It’s not weird or anything like that. It’s just casual. Like, whether you have it or you don’t, everything’s going to be all right somehow. "
entertainment,"WATCHING Brad Pitt is always a pleasure, but it's particularly enjoyable in Terry Gilliam's wonderfully nightmarish 12 MONKEYS (1995). As a very rich mental patient, Mr. Pitt is wild-eyed with some interesting physical tics and a tendency toward irrational but entertaining outbursts; the role earned him an Oscar nomination for best supporting actor. The film's lead, Bruce Willis is a time traveler from the future sent back to research the viral war of 1996 that killed most of the human race and sent the survivors underground for decades. Madeleine Stowe is the psychiatrist who doesn't believe a word he says - Saturday at 8 p.m. on Channel 7."
entertainment,"MIKE LEIGH understands emotional apathy and the British working class. He proved that with ''Secrets and Lies'' and does it again in ALL OR NOTHING (2002). Timothy Spall stars as Phil, a passive, almost affectless cabdriver, and Lesley Manville plays his wife, Penny, a supermarket cashier who is almost equally passive. They live in a dingy motel-style apartment project with their two lumbering, overweight, useless teenage children. They stopped loving each other a long time ago. Then one day their son, Rory (James Corden), has a heart attack. And when people are that raw emotionally from a near-tragedy, so much that Phil tells Penny, ''I feel like an old tree that ain't got no water,'' change is possible -- Friday at 9 p.m. and Friday/Early Saturday at 4 a.m. on Sundance."
entertainment,"BERLIN, Feb. 15 Â When the annual Berlin International Film Festival started last week, the expectation was that this was going to be the year of politics."
entertainment,"Federico Fellini's film LA STRADA (1954), about a traveling strong man (Anthony Quinn) and his feeble-minded assistant (Giulietta Masina), is an extraordinary parable of a movie, demonstrating the pain of loneliness and the need for love. The story is set in the picturesque Italian countryside, where the brutish hero and his helper tour from town to town and eventually deal with the intrusion of an acrobatic stranger (Richard Basehart). One powerful component of the film, in addition to its low-key performances, is the haunting musical theme by Nino Rota. Chances are, if the picture doesn't hook you, the music will - WEDNESDAY at 8 P.M. on Turner Classic Movies."
entertainment,"Only a handful of the millions of books written become classics, shaping perspectives and broadening an understanding of the world. Donald Sutherland plays host for a 36-hour GREAT BOOKS FESTIVAL, which includes premieres and encores from the Learning Channel's ''Great Books'' series. Beginning SATURDAY at 9 A.M. on TLC, viewers are taken on a journey through the classics. there is Lewis Carroll's ''Alice in Wonderland,'' about a fantasy world where cats grin and a mad hatter serves tea; H.G. Wells's ''War of the Worlds'' ; Mark Twain's ''Huck Finn,'' about two runaways on the Missippi, and ''Moby-Dick,'' Herman Melville's story of The Pequod, the 19th-century whaler, and her captain and the great white whale that obsesses him."
entertainment,"Westerns may be something of an endangerered species now, but Howard Hawks's ""Red River,"" is one from the days (1948) when westerns really were as big as all outdoors, and lusty and brawling, too. And who better to lead the way in this saga of the first cattle drive along the Chisholm Trail from Texas to Kansas than John Wayne, with Montgomery Clift providing the conflict as his ward and heir apparent. Old pros like Walter Brennan, Noah Beery Jr., Harry Carey (Sr. and Jr.) and John Ireland lend their grit to the stampedes and gunplay, and Joanne Dru makes sure that everyone knows there's more to life than dust and longhorns - Tuesday at 10:35 P.M. on TNT Lawrence Van Gelder"
entertainment, News from the DVD trenches indicates a division of philosophy at the studios. Should discs have bigger and better extra features to accompany films? Or should features be trimmed in the interests of economy and profit? 
entertainment,"A MESSIANIC religious leader's devotees commit random acts of violence in his name. Meanwhile, a larger war looms in a region known for its unstable leadership, desert climate and precious supply of a natural resource that everyone wants to get their hands on."
entertainment,"A GROUP of high school students at the Buffalo Academy for the Visual and Performing Arts are preparing for the extracurricular project of a lifetime: to desegregate their school's lunchroom within two weeks, and be filmed in the process."
entertainment,"MICHAEL PALIN is the only 54-year-old joining the freshman run at the University of Otago, in Dunedin, New Zealand. Too late, he learns that this is no ordinary jog. Soon he and the freshmen are waist-deep in water, and upperclassmen are pelting them with eggs and flour. Luckily, Mr. Palin says, he knows how to handle such situations. ''Having had the benefits of an English public school education,'' he explains, ''I understand pain and pointless exercise.''"
politics,"Former Gov. Jeb Bush continued to take a hard line against normalizing relations with Cuba on Friday, accusing the Obama administration of capitulating to an oppressive regime by removing it from a state-sponsored terrorism list."
politics,"Less than two weeks after Islamic State terrorists killed scores of people in Paris and Beirut, fewer than one in four Americans say they think President Obama has a clear plan for combating the terrorist group, according to a new CBS News poll."
politics,"WASHINGTON — The Democratic National Committee said on Monday it had reserved $22 million in YouTube advertisements across 14 states that the party believes will be competitive in the general election, the beginning of a broad digital effort to defeat President Trump this fall."
politics,"Alex Padilla, California’s secretary of state, has emerged as the front-runner to succeed Vice President-elect Kamala Harris. But Gov. Gavin Newsom appears to be in no rush to make his choice."
politics,Good Thursday morning. Here are some of the stories making news in Washington and politics today.
politics,"Former Gov. Martin O’Malley of Maryland, who has explored a Democratic presidential campaign for the last two years, raised about $2 million in the month after he announced his candidacy. "
politics,"Immediately after Russia’s invasion of Ukraine, the political debate in the U.S. was a free-for-all. Democrats and some Republicans aligned behind President Biden exhibiting what was once considered a traditional show of unity in a crisis. Other Republicans blasted Biden as weak and insufficiently tough on Russia. In perhaps the strangest twist, still other Republicans, including Donald Trump, seemed to sympathize with Russia’s president, Vladimir Putin."
politics,"More Than a Vote, the collective of athletes headlined by the basketball star LeBron James, on Wednesday will introduce its final political push before Election Day, a rapid response and advertisement operation meant to combat the spread of misinformation among younger Black voters."
politics,The group attempting to persuade Vice President Joseph R. Biden Jr. to run for president will not televise a commercial recalling the death of Mr. Biden’s first wife and his daughter after a report indicated that the vice-president was uncomfortable with the content.
economy,A top executive who oversees many of Citigroup’s risk functions is stepping down.
economy,"JOHN CASSAVETES: FIVE FILMS -- (The Criterion Collection, $124.95.) Under one roof, five of the most important features from the revolutionary filmmaker John Cassavetes, whose style embraced the extremes of both behavioral detail and operatic emotion. Criterion's seven-disc collection practically amounts to a graduate seminar on the work of this authentic genius, featuring a wealth of supplementary material along with impeccable transfers of the five titles in question -- ""Shadows"" (1959), ""Faces"" (1968), ""A Woman Under the Influence"" (1974), ""The Killing of a Chinese Bookie"" (1976) and ""Opening Night"" (1977). DAVE KEHR"
economy,"KIMBERLY YORIO, a co-owner of a public relations firm, YC Media, thought she was pretty good at finding the things a small business needed. After all, she and her business partner, Caitlin Friedman, were co-authors of the book, ""The Girl's Guide to Starting Your Own Business."""
economy,"IN the last few years, the reputation of the résumé has gotten a severe beating."
economy,"LISTEN to the Oscar thank-you speeches on Sunday night, and one thing will be immediately apparent: moviemaking is a process requiring many hands and minds."
economy,ARE you losing sleep over the constant decision-making involved in running your business? How would you like to unwind with a good mystery -- and learn business tactics at the same time?
economy,"WASHINGTON - PRESIDENT BUSH says he loves small business, and small-business owners are overwhelmingly on his side in the election. But entrepreneurs are not yet giving Mr. Bush the one thing he needs the most: a surge in jobs."
economy,The American International Group said on Wednesday that the Federal Aviation Administration had approved its request to use drones to conduct inspections.
economy,"THE old story of technology in business was a trickle-down affair. From telephones to computers, big companies came first. They could afford the latest innovations, and they reaped the benefits of greater efficiency, increased sales and expansion into distant markets. As a technology spread and costs fell, small businesses joined the parade, though from the rear."
economy,"Strong economic data and healthy earnings reports from companies like PepsiCo and Apple Computer took the stock market higher last week for the third consecutive week. On Friday, the Standard & Poor's 500-stock index reached a four-year high."
entertainment,"The warmly appealing heroine of DARK VICTORY is a stricken woman who weds her loving doctor (George Brent) and won laurels for Bette Davis, whose career was founded on roles of dazzling witchery. ''I loved doing Judith,'' the actress told me at her Maine home a few years before her death, but I saw it again not long ago and some wise ones -- Hollywood friends, who picked it to pieces and I agreed on some points, like those angel voices at the end. Her director, Edmund Goulding, had told Hollywood that his star had ground him into powder. However, a co-star, the beautiful Geraldine Fitzgerald, became a close friend. ''I saw Gerry not long ago and you know what she told me: 'Bette, give us more worlds' '' -- MONDAY at 10 P.M. on TCM. Howard Thompson"
entertainment,"With a lean script (by Daniel Taradash) culled from James Jones's sprawling best seller, FROM HERE TO ETERNITY (1953) came alive on film -- its soldiers, their women and Peal Harbor. The picture copped eight Oscars. Praise pelted Fred Zinnemann's direction and his cast: Burt Lancaster, Frank Sinatra (in a legendary comeback), a surprisingly earthy Deborah Kerr and Donna Reed. Curiously, Montgomery Clift's cutting portrayal of Prewitt (above), the story's central figure was skimmed past. Or was he just taken for granted? Even with Jones's iron-fisted realism and scathing talk toned down, this ""Eternity"" packs a wallop -- THURSDAY at 8 P.M. on TNT. Howard Thompson"
entertainment,"THE plot of ANTONIA'S LINE (1995), Marleen Gorris's Oscar-winning Dutch comic drama, is powerfully simple, just the stuff of life everywhere. People meet, make love, have babies, grow old and die. Occasionally there are anomalies (the title character's daughter wants a child but not a husband), surprises (the baby turns out to be a math genius) and tragedies (a local boy commits rape). And in the end we feel we understand it all a lot better -- the inevitability of the cycle of life and a savoring of its rhythms. Willeke van Ammelrooy, who plays Antonia, won the Netherlands Film Festival's best actress award -- Friday at 9 p.m. on Sundance."
entertainment,"The wry gleam of ""THE PALM BEACH STORY"" (1942) suggests fun was had by all: Claudette Colbert and Joel McCrea as a Manhattan couple who spat and light out for Florida; and Rudy Vallee and Mary Astor as rich, sun-kissed brother and sister romantic predators. And three cheers for the Ale & Quail Club, a hilarious gang of rowdy hunters aboard the Miami-bound train! Only Preston Sturges could have concocted this lark. Bless him. MONDAY AT 6 P.M. and 11:30 P.M. on AMC. -Howard Thompson"
entertainment,"LIZA MINNELLI is sweating, and it has nothing to do with lawsuits or divorce. She's rehearsing on the set of Fox's ''Arrested Development.'' She fans herself with a script. When the actors break, she smokes a Marlboro Light 100 down to its filter."
entertainment,"COURTROOMS, prisons, police stations and officers of the law in many shapes and forms fill the screen with color, conflict and, thank goodness, a little comedy this week."
entertainment,"When Cecil Rhodes arrived in 1870 in the Cape Colony, Britain's toehold on the southern end of Africa, it was a small agricultural backwater. When this son of an English country vicar died 32 years later, his company controlled the world monopoly on diamonds. And thanks to his ruthless quest for wealth, Britain controlled a million square miles of the African continent."
entertainment,"IT must be true that death never takes a holiday -- not on television, anyway. Here we are in high summer, and newly minted true-crime shows are still turning up in prime time."
entertainment,"A selective listing by critics of The Times: New or noteworthy movies playing this weekend in the New York metropolitan region. * denotes a highly recommended film. Ratings and running times are in parentheses. Full reviews of all current releases, movie trailers, showtimes and tickets: nytimes.com/movies."
entertainment,"The New Directors/New Films festival concludes its 35th edition with two French and four American films, several fresh from the Sundance Film Festival. Today through Sunday, there are also encore screenings of the selections ""Pavee Lackeen,"" ""First on the Moon,"" ""Still World,"" ""Texas"" and ""Into Great Silence""; also playing today are the documentaries ""Witness to War,"" ""The Ties That Bind"" and ""Who Killed Vincent Chin?"" More information, including ticket availability, is at www.filmlinc.com. "
politics,"President-elect Joseph R. Biden Jr. plans to call on a divided nation to come together at a time of political crisis and a deadly pandemic with an “America United” Inauguration Day theme, his inaugural committee announced Monday."
politics,"Donald J. Trump has regained the initiative in New Hampshire, according to a new poll that demonstrates his enduring popularity in the face of more aggressive rivals and a fraught national security landscape."
politics,"Aahtrell Johnson remembered the police car rolling up, just before he was about to take his shot at the basket under the pine trees. It was 2016, and his neighbor had called 911, complaining that he was getting loud in the street. A white officer named Bobby White had been sent to respond."
politics,"WASHINGTON — As she arrived at the Capitol on Wednesday morning to meet her fate, the soon-to-be deposed No. 3 Republican in the House hinted that she was already eyeing her next role."
politics,"Joseph R. Biden Jr. said on Friday that he had discussed the process of selecting a running mate with his chief rival, Senator Bernie Sanders, even as both men continue to compete in the Democratic primary."
politics,"LOS ANGELES — At an auditorium here one evening this week, Atticus Tyagi, age 8, stepped onstage with a canvas bag nearly as large as he is, bearing the name of his “Gammy” — Senator Elizabeth Warren — and calmly chose raffle tickets to determine who in the audience of thousands would have a chance to ask Ms. Warren a question."
politics,President Biden told the nation’s largest gun-control group on Tuesday that he had secured extensive reforms on firearms safety but acknowledged that he had not achieved several of his priorities.
politics,"Representative Tulsi Gabbard, Democrat of Hawaii, resigned as a vice chairwoman of the Democratic National Committee on Sunday in order to endorse Senator Bernie Sanders for president."
politics,"Four years ago, Kimberly Guilfoyle delivered a dark, high-decibel address to the Republican National Convention that made her the subject of derisive jokes from pundits and late-night comedians."
politics,BALTIMORE — Martin O’Malley couldn’t have asked for a more picturesque backdrop for his presidential campaign announcement on Saturday: A blue sky met the clear water of Baltimore’s Inner Harbor off Federal Hill Park.
economy,"CAN'T YOU HEAR ME CALLIN' -- BLUEGRASS: 80 YEARS OF AMERICAN MUSIC -- (Sony Legacy, $49.98.) The history of bluegrass winds through a maze of subgenres and record labels. This four-CD compilation judiciously selects many styles of bluegrass from 1929 to the present from many different sources -- not just labels controlled by Sony. BEN RATLIFF"
economy,"THIS may seem like the worst of times to start a small business, but in some ways, a downturn is the best of times."
economy,"* Health magazine increasing its circulation rate base 5.3 percent, to one million, from 950,000, with the September issue."
economy,"FOR small-business owners who use patents, these are challenging times."
economy,A prominent former executive at JPMorgan Chase has left the world of commodity trading for the virtual world of digital transactions.
economy,"WHEN Alan Lethers, a small-business owner in San Luis Obispo, Calif., thinks about the amount of time, money and energy that can be spent on a Web site, he is reminded of an old saying, ''You're so busy fighting the alligators that you forget you're supposed to be draining the swamp.''"
economy,"During the 12 years I’ve owned a marketing strategy company, I have set many guidelines and recommendations for myself and my employees, but few hard rules. "
economy,"Investors appear enamored of Peloton and its advanced home-cycling stationary bicycles, so much so that the start-up has raised money again to continue its expansion."
economy,"HONG KONG — InnVest Real Estate Investment Trust, which has a portfolio of 109 hotels in Canada, said Wednesday it would be sold to a Canadian company backed by Hong Kong money for 2.1 billion Canadian dollars, or about $1.6 billion, including debt."
economy,"HOUSTON - ALICE TRAN recently spent $60,000 to buy and make improvements on her second small business in Jefferson Parish, La., just across the Mississippi River from New Orleans. She opened the business, a karaoke bar called Club Hawaii, two months ago. Then came Hurricane Katrina."
entertainment,"The country not only talked about the trial, it was obsessed with it -- and not just for a day or two, but for week after week after week. This murder trial involving a glamourous celebrity seemed to crowd everything else out of the newspapers, which gleefully printed every detail they could get their hands on. There were so many reporters covering the trial that there was no room for the public in the courtroom. ""The trial is being reported to the ends of the globe,"" observed The New York Times."
entertainment,"IN the four-hour television film ''Victoria and Albert'' (Sunday and Tuesday at 9 p.m. on A&E), King George III has been reduced to the rank of prime minister, Hercule Poirot has moved from Belgium to Germany to become a trusted adviser to Prince Albert, and a different Poirot is playing Britain's King William IV, whose death brings Victoria to te throne."
entertainment,"On a cruelly cold Antarctic evening, the albatross floats in like a jetliner for a soft landing. The king penguin, once compared by an Antarctic explorer to a portly gentleman late for dinner, waddles up from the sea to nest. The elephant seal rules the beach, whiskers whipped by 100-mile-an-hour winds."
entertainment,"I'M feeling a little better about Woody Allen since he turned up at the Academy Awards in support of New York. So it's a good time to rewatch HANNAH AND HER SISTERS (1986), a film that Mr. Allen appears to have made during a brief period of personal contentment. Mia Farrow, of course, plays Hannah, the rich, successful sister, who doesn't realize her marriage is in trouble. Lee (Barbara Hershey) is the restless sister, reconsidering her relationship with a famous painter. Dianne Wiest, who won a best supporting actress Oscar for this, is Holly, the sister who can't get a career or a relationship right. And Mr. Allen is Mickey, Hannah's hypochondriac ex-husband, who just can't stay away from the family. This is one of Mr. Allen's most satisfying dramatic comedies, and Hannah's apartment (rambling, prewar, Central Park West) is inspirational - Saturday at 1 and 9 p.m. on Oxygen."
entertainment,"MELINDA AND MELINDA (2004) Sunday at 3:15 p.m. on Cinemax Way back in ""Stardust Memories"" (1980), Woody Allen responded to some fans' preference for his early, straightforwardly funny films, rather than his attempts to emulate Ingmar Bergman. Even space aliens, he suggested, preferred ""Bananas"" to ""Interiors."" In this film, Mr. Allen has it both ways. Radha Mitchell stars in parallel stories about the same character in the same situation: a woman who crashes a couple's dinner party. One story turns out comically; the other doesn't. The ensemble cast includes Chloë Sevigny (far left, with Ms. Mitchell), Will Ferrell, Amanda Peet and Chiwetel Ejiofor. The New York apartments are fabulous."
entertainment,"ONLY the most delicate of special effects is used in ""Mr. Harvey Lights a Candle,"" and just once, near the end. This may surprise fans of the British actor Timothy Spall, star of the film, which has its American premiere Christmas Eve on BBC America. They are more used to seeing him surrounded by some of the splashiest effects available today -- in the two most recent ""Harry Potter"" movies, where he plays the scoundrely Peter Pettigrew."
entertainment,"During World War II, a group of black Army Air Forces pilots valiantly fought two enemies - Nazism and racism - to become one of the most decorated squadrons in American military history."
entertainment,"One-month-old cheetah triplets learn the survival game and other deadly skills in ""A Cheetah Family,"" part of a weeklong introduction -- MONDAY-FRIDAY at 8 P.M. and MIDNIGHT -- to the Discovery channel's new series WILD DISCOVERY. HUNTERS OF THE AFRICAN PLAIN are one-hour films about a lioness among lions; hyenas and leopards in competition for prey, and on Friday, a family of cheetahs. Mitsuagi Iwago camped in the Serengeti near the home of a female and her young. He has filmed the mother at work securing food and safety for her cubs, and he talks about the endangered animals, which number only about 500 on the African plain because of shrinking habitat, predators, starvation and bad luck. Suzanne O'Connor"
entertainment," Come Academy Awards season, home video usually has a few nominated titles available by the time the Oscars are handed out. (That will be March 23 this year.) But now DVD has jumped into the competition with laudatory interviews and commentaries, minidocumentaries and other features packed onto discs involving potential nominees, to be announced on Feb. 11. "
entertainment,Correction Appended
politics,"From rising tensions with Iran to the still-growing Democratic presidential field, it’s been a busy week in American politics. Here are some of the biggest stories you might have missed (and some links if you’d like to read further)."
politics,It’s another busy day on the presidential campaign trail in Iowa.
politics,"Peter Navarro, who led the U.S. Office of Trade and Manufacturing Policy under President Donald J. Trump, was released from prison on Wednesday — in time to fly to Milwaukee to speak at the Republican National Convention."
politics,PHOENIX — An Arizona megachurch hosting President Trump on Tuesday misleadingly claimed that its new air purification system “kills 99.9 percent of Covid within 10 minutes” but then backtracked shortly before the president spoke.
politics,"Joseph R. Biden Jr. and Senator Kamala Harris presented a united front in their first joint television interview, glossing over a number of significant differences they held in the primary campaign to emphasize their shared commitment to defeating President Trump."
politics,[Read more on Joe Biden’s president-elect acceptance speech.]
politics,"DENNEHOTSO, Ariz. — Turn off the two-lane highway that runs across the Navajo Nation, just a few miles south of the Utah border, and the pavement yields instantly to the desert."
politics,"MARION, Ind. — Senator Ted Cruz of Texas had a date with a waiting car."
politics,"Donald Trump, Pushing Someone Rich, Offers Himself"
politics,Good Friday morning. Here are some of the stories making news in Washington and politics today.
economy,"Kim Gordon’s memoir, “Girl in a Band,” a New York Times best seller, details her life as a founding member of Sonic Youth and her marriage to her band mate Thurston Moore."
economy,"Bank of America must pay a $30 million fine after a financial regulator found numerous violations related to the accounts of 73,000 military service members."
economy,"SONOMA, CALIF. - IF the dusty driveway in this flat, inelegant swath of wine country was a deterrent, you couldn't tell from the man in the Maybach. As cicadas buzzed and a pile driver in a neighbor's yard pounded in the heat, the gentleman backed his sparkling Mercedes-Benz up to a barn door at the Robledo Family Winery, filled the trunk with cases of wine and said simply, ""I buy it every year because it's so good."""
economy,"SHORTLY before 8 a.m. on a recent Tuesday morning, Christopher LaPolice was on the fifth floor of Saks Fifth Avenue, two hours before the store was to open. In a ritual that unfolds at the store each morning, the displays were cluttered with rolling racks and unopened cardboard boxes, and four young men were sorting through and stocking the latest Marc by Marc Jacobs dresses and cotton-candy-colored fake fur bomber jackets from Juicy Couture."
economy,"Jared and Joshua Kushner have charted separate careers for years, one as a real estate developer, the other as a technology venture capitalist. But the brothers have teamed up for a new company that combines their two expertises."
economy,President Francois Mitterrand of France called on the Common Market today to further curb imports of agricultural goods from the United States. He said new restrictions were needed because of overproduction by European farmers and the strain that that is putting on the finances of the European Economic Community.
economy,"It wasn’t long ago that fans at sporting events had only a handful of ticket options: Box seats, reserved seats and general admission seats, with perhaps a premium for the most desirable locations, like behind home plate or on the 50-yard line. Clubs and suites were often tucked into the ends of stadiums and the upper decks."
economy,"Eureka moments are supposed to happen in unlikely locations, like the one Archimedes had in his bath. But my revelation about planning and money came in a terribly likely spot, a centuries-old ceremonial hall at Oxford University."
economy,"HONG KONG — Meituan, a group buying service backed by Alibaba, said Thursday that it would join forces with Dianping, a consumer review website backed by Tencent, hoping to create an e-commerce juggernaut."
economy,"YOU'RE slaving away at your job, and you can tell you're going to finish yet another tedious task on time. Your boss is nice enough. The pay is decent, but you need something more. So amid the buzz of the office environment, you temporarily turn your attention to the Web to order supplies for You Inc., the small business you have quietly started on the side."
entertainment,"This much we know: on Tuesday night Jimmy Smits will end his four-year run as the detective Bobby Simone on ''N.Y.P.D. Blue,'' the highly rated police drama now in its seventh season on ABC at 10 P.M. What we don't know, and won't learn until Tuesday, is what happens to Bobby, who as of last week's episode was at death's door and about to be wheeled to the operating room."
entertainment,"A happy, spirited adventure about World War II? Not all that absurd. In fact, John Sturges's GREAT ESCAPE (1963), about a Nazi stalag, is a highlight of the films on television this week. Portraying Allied prisoners of war, fine actors compete for honors, starting with James Garner and Donald Pleasence (above), Steve McQueen, Richard Attenborough, Charles Bronson and James Coburn. This exciting melodrama, superbly scenic and depicting a true, mass escape plot, cuts from the flight to the pursuers for its tension and suspense. The location filming adds authenticity -- Saturday at Noon on TBS."
entertainment,"''Double Teamed'' is the story of Heather and Heidi Burge, twins who made it to the W.N.B.A. (the Sacramento Monarchs and the Los Angeles Sparks, respectively). The movie (Disney Channel, Friday at 8 p.m.) covers their high school days and their professional success. Perhaps the filmmakers' biggest challenge was finding two tall actresses who had basketball skills and looked enough alike to play twins. Poppi Monroe (near right) and Annie McElwain had it all. Nick Searcy and Mackenzie Phillips (center) play their parents."
entertainment,And thus spake the executive producer to his screenwriter:
entertainment,"TALK about repressed. For 20 years, Jerry Harden has played by the rules of Middle America. He has racked up the requisite beautiful wife, the two snarling teenage children, the nice house in the suburbs, the banking job and the hefty bills that come attached. With his starchy gray pinstripe suit and earnest demeanor, no one would guess his personal life was anything short of a snore -- until one morning a mangy dog of a fellow shows up at the bank dangling a lucrative paycheck. Next thing you know, the quintessential family man is leaving work early, getting home late and demonstrating uncharacteristically erratic behavior."
entertainment,"These days, Eliza Thornberry, Nickelodeon's resident Dr. Dolittle, is talking to a few new animals: the endangered kind. As part of Keep the Wild Alive Week, ''The Wild Thornberrys'' will focus on species struggling for survival. The special episodes (tomorrow through Thursday at 8 p.m.), followed by brief segments on animal facts, are part of Nickelodeon's new partnership with the National Wildlife Federation, to which a portion of proceeds from the show's retail products will be donated."
entertainment,"They may look alike, but that's where the similarities end. Mary-Kate, the tomboy, is an expert equestrian who has won championships riding her own horses; Ashley, the ''girly girl,'' is an accomplished jazz and modern dancer."
entertainment,"Directed by William A. Wellman, with Charles ''Buddy'' Rogers, Richard Arlen and Gary Cooper, WINGS (1927) has two distinct assets as a Hollywood antique. It won the first Best Picture Oscar, in the ballroom ceremony held at the Roosevelt Hotel on Hollywood Boulevard, and the airborne scenes depicting World War I are fine, with a swarm of those marvelous old planes on both sides and some remarkable photography. Otherwise the picture seems rickety. The plot has Rogers and Arlen as two American Army aviator pals in love with the same woman (a fairly subdued Clara Bow). The story does pick up with a twist at the end, but those old planes are what make this picture fly -- Friday at 6 A.M. on American Movie Classics. Howard Thompson"
entertainment,"IT certainly is not what you would expect to see on television: just a few famous faces from the movie business sitting around a dinner table, dishing about the film industry. But that is what the Independent Film Channel (IFC) has decided to serve up in a new series, ''Dinner for Five,'' which is to have its premiere tomorrow night at 8."
entertainment,"WHEN Vivien Leigh walks on screen in ST. MARTIN'S LANE (1940), a k a ''Sidewalks of London,'' and emits a screeching Cockney accent, it's as if Scarlett O'Hara were channeling Eliza Doolittle. This British film was released in England in 1938, a year before ''Gone With the Wind,'' and you can see every one of Scarlett's attitudes and expressions in use. Leigh plays a talented, poor and not entirely honest young dancer taken in by a kindly London busker, or street entertainer (Charles Laughton), who falls in love with her. But so does Rex Harrison, playing a well-dressed, well-connected songwriter who gives her her start on the road to West End stardom. Guess which nice guy is left behind? Tim Whelan directed - Sunday at 9 p.m. and Friday at midnight on CUNY."
politics,"The New York Observer has endorsed a candidate in the Republican primary, and that candidate is — surprise! — Donald J. Trump."
politics,Good Monday morning. Here are some of the stories making news in Washington and politics today.
politics,"After a midterm election year in which statewide races were almost entirely wrapped up in national issues — abortion and democracy — the nation’s newly elected governors are showing their ambitions with a mix of virtue-signaling on national issues, currying favor with their political bases and, for some, reaching out to broader constituencies."
politics,"As Representative Mary Peltola, Democrat of Alaska, campaigns for the chance to serve a full term, she met her three opponents on Wednesday night for a debate where they argued about how to utilize the state’s resources and improve bipartisanship."
politics,"WASHINGTON — In October, President Trump declares a state of emergency in major cities in battleground states, like Milwaukee and Detroit, banning polling places from opening."
politics,"After months of mulling an independent run for president, Jim Webb is putting his White House hopes to rest. "
politics,"It was the most unexpected cameo of the White House Correspondents’ Association dinner on Saturday: There, in the video with President Obama, was none other than John A. Boehner, the former House speaker. "
politics,"Delegates to the Democratic National Convention support the party moving forward swiftly to nominate Kamala Harris as their presidential candidate, rather than going through a prolonged and potentially divisive debate, according to interviews conducted by The New York Times."
